open,high,low,close,volume
92919.1,92969.7,92833.13,92969.7,90.09296
92969.69,93112.29,92941.84,93071.76,83.13982
93071.76,93100.2,93024.0,93024.0,51.39835
93024.01,93069.33,93000.01,93069.33,18.64168
93069.33,93120.0,93037.54,93119.99,40.51045
93119.99,93223.82,93116.25,93168.91,85.67548
93168.91,93269.53,93130.43,93130.43,161.3719
93130.44,93175.64,93109.8,93125.18,58.27582
93125.17,93169.64,93062.14,93157.61,45.8755
93157.61,93200.0,93037.5,93037.51,40.91492
93037.51,93092.74,93018.43,93060.11,39.08851
93060.11,93095.24,93017.46,93068.17,30.84296
93068.17,93167.44,93068.17,93125.61,31.79631
93125.62,93176.73,93102.91,93154.65,33.29746
93154.64,93218.31,93154.29,93164.57,56.92052
93164.58,93399.6,93158.01,93370.27,111.68491
93370.27,93515.15,93369.83,93420.0,153.88316
93420.0,93666.0,93392.4,93665.99,137.73895
93665.99,93665.99,93371.48,93406.08,147.4878
93406.08,93583.0,93406.08,93567.36,72.30493
93567.35,93608.56,93452.45,93452.45,106.78834
93452.45,93475.1,93345.01,93355.0,69.99875
93354.99,93470.18,93354.99,93360.77,47.12545
93360.78,93400.0,93354.99,93400.0,23.98579
93399.99,93509.77,93391.9,93459.17,62.77301
93459.16,93459.17,93336.21,93341.98,63.11972
93341.99,93354.64,93280.79,93329.51,49.45565
93329.5,93499.0,93304.34,93484.15,63.99548
93484.15,93565.22,93458.26,93510.01,79.97563
93510.0,93521.74,93456.15,93478.42,73.5637
93478.43,93571.43,93420.0,93525.71,89.15482
93525.72,93724.65,93525.71,93685.24,80.38485
93685.23,93763.19,93648.0,93720.0,69.71775
93720.0,93720.01,93639.79,93639.79,33.55805
93639.79,93833.1,93610.04,93824.64,71.96785
93824.65,93863.63,93729.6,93740.73,75.41241
93740.73,93822.8,93672.77,93770.01,83.1038
93770.02,93778.19,93619.26,93640.0,48.48805
93640.0,93673.66,93597.87,93631.52,74.13332
93631.52,93714.29,93621.72,93691.86,40.97166
93691.87,93691.87,93583.77,93596.83,52.51569
93596.84,93718.0,93558.27,93628.13,67.13741
93628.14,93824.31,93628.13,93671.38,129.80153
93671.39,93671.39,93520.87,93524.34,62.53163
93524.33,93549.65,93500.0,93519.67,74.09942
93519.67,93549.5,93490.9,93549.5,50.33941
93549.5,93592.0,93497.46,93500.05,43.53283
93500.06,93548.35,93496.0,93546.39,24.76382
93546.39,93742.5,93546.39,93742.49,83.55626
93742.49,93948.64,93713.24,93800.0,138.80639
93799.99,93800.0,93703.31,93703.32,47.6165
93703.31,93810.6,93703.31,93784.98,101.13427
93784.97,93918.35,93771.0,93897.38,41.04238
93897.38,94264.0,93844.68,94133.82,407.10706
94133.82,94157.84,93913.04,93970.61,98.28141
93970.6,94124.85,93913.26,94079.46,158.44635
94079.45,94435.0,94027.58,94384.58,174.22667
94384.57,94384.58,94180.0,94275.01,139.27829
94275.01,94521.79,94260.0,94283.34,271.42654
94283.33,94309.7,94133.5,94240.08,99.62914
94240.07,94248.45,94122.03,94228.01,63.47422
94228.0,94280.0,94158.58,94226.68,68.24084
94226.67,94298.91,94190.47,94281.35,82.54912
94281.35,94431.56,94281.35,94370.39,77.212
94370.38,94370.49,94300.0,94307.7,40.71546
94307.69,94326.26,94189.27,94285.72,93.23821
94285.72,94356.0,94285.71,94333.34,45.15842
94333.34,94333.34,94243.28,94278.54,44.52867
94278.53,94398.97,94278.53,94316.58,66.42638
94316.58,94316.58,94222.0,94227.92,54.07184
94227.92,94260.0,94200.0,94204.26,57.56674
94204.25,94250.04,94147.44,94147.44,76.00788
94147.44,94198.57,94136.67,94148.06,42.83162
94148.07,94150.0,93981.2,94026.99,178.76279
94026.99,94140.51,94026.98,94057.02,79.86134
94057.02,94129.71,94057.02,94103.02,50.30946
94103.02,94103.02,94023.0,94025.73,44.60206
94025.74,94036.37,93888.52,93888.52,60.08461
93888.53,93900.0,93580.0,93640.0,274.73935
93640.0,93722.28,93407.78,93521.73,273.7765
93521.74,93565.21,93340.81,93419.74,197.66129
93419.75,93571.39,93392.76,93514.32,128.02437
93514.33,93600.0,93480.64,93541.12,68.35555
93541.13,93688.48,93532.93,93638.1,100.19752
93638.09,93704.5,93586.88,93646.6,109.66294
93646.6,93646.61,93523.67,93559.69,69.60545
93559.69,93590.84,93522.24,93569.83,29.45979
93569.83,93647.75,93532.83,93613.27,51.88463
93613.28,93703.73,93613.27,93677.99,64.33759
93677.98,93755.31,93652.71,93745.19,62.04999
93745.04,93764.76,93676.1,93718.18,72.63466
93718.18,93726.22,93639.99,93673.4,58.71214
93673.4,93688.01,93610.34,93633.54,36.95311
93633.54,93714.28,93610.35,93663.71,51.3192
93663.72,93777.95,93663.71,93750.48,63.57593
93750.49,93773.61,93614.42,93614.42,42.39991
93614.43,93630.08,93531.94,93548.77,48.86392
93548.78,93558.12,93500.0,93500.0,89.59099
93500.0,93560.81,93452.67,93474.71,94.97183
93474.72,93530.82,93450.0,93450.0,66.90336
93450.0,93461.85,93324.45,93381.76,49.01167
93381.76,93468.87,93380.95,93466.01,38.09945
93466.01,93558.65,93421.94,93528.01,56.07588
93528.0,93638.92,93502.93,93624.81,115.66628
93624.81,93840.55,93624.81,93782.61,134.62762
93782.6,93782.61,93652.17,93700.02,58.15942
93700.03,93700.03,93628.02,93634.01,28.72567
93634.01,93794.02,93634.01,93721.08,33.76407
93721.08,93857.14,93700.02,93831.09,43.34967
93831.09,93831.09,93630.64,93636.73,37.51219
93636.73,93654.92,93608.69,93625.65,55.88488
93625.66,93736.87,93625.65,93731.23,49.0792
93731.23,93782.61,93719.75,93730.36,40.6477
93730.36,93776.11,93700.0,93731.4,62.29201
93731.4,93780.91,93682.4,93720.51,76.42788
93720.51,93944.79,93720.5,93869.56,137.10323
93869.56,94015.2,93835.01,93968.55,102.56415
93968.56,94160.0,93968.55,94087.54,133.32393
94087.54,94087.54,93982.04,93989.6,88.6878
93989.61,94009.31,93903.04,94009.3,79.5046
94009.31,94253.82,93919.34,94000.08,168.81393
94000.08,94696.05,93381.0,93536.01,1086.05628
93533.81,93971.1,93381.0,93447.58,379.26029
93447.58,94017.89,93428.55,93918.31,227.96397
93919.79,93919.79,93467.34,93484.48,260.41946
93484.47,93485.82,92872.16,93020.22,547.07472
93020.35,93665.99,92878.41,93635.33,343.66586
93635.33,93653.12,93306.1,93400.33,139.93876
93400.34,93510.56,93274.05,93305.17,85.70878
93305.16,93330.4,92699.17,92747.99,292.00082
92747.99,93165.9,92666.01,93149.75,247.64651
93149.75,93293.93,93089.37,93138.69,97.01707
93138.69,93145.59,92925.07,93000.0,133.81966
93000.0,93104.0,92826.08,92891.47,105.88812
92891.48,93216.0,92763.54,93202.0,125.11692
93202.0,93215.95,92975.35,93105.41,89.14761
93105.63,93114.46,92934.82,92997.59,90.66963
92997.59,93038.41,92887.96,92940.06,40.80813
92940.05,92940.06,92565.21,92764.35,467.25588
92764.35,92843.81,92629.07,92737.52,84.92453
92737.79,92815.07,92608.69,92612.23,99.02152
92612.23,92657.41,92178.0,92250.57,329.22588
92250.56,92395.99,92039.83,92189.84,361.95552
92189.84,92215.47,91935.41,92164.0,478.09075
92163.99,92412.05,92025.44,92356.2,174.78052
92356.2,92800.0,92311.17,92716.9,155.53888
92716.9,92804.44,92540.77,92587.45,119.12871
92587.45,92691.04,92551.89,92664.79,106.6477
92664.8,92857.15,92664.8,92832.5,97.77214
92832.38,93238.87,92803.09,93195.28,276.10437
93195.28,93224.56,93000.0,93216.0,112.91167
93216.0,93371.11,93066.77,93090.11,123.63337
93090.11,93242.59,93060.47,93152.0,73.42085
93152.0,93183.27,93030.53,93110.02,64.05141
93110.03,93147.52,92913.04,92913.53,113.57055
92913.53,93383.74,92913.53,93371.7,139.63093
93371.71,93480.91,93304.34,93349.73,92.83097
93349.73,93770.19,93315.48,93703.91,217.16686
93703.9,93703.9,93485.24,93541.68,71.8684
93541.69,93691.42,93528.99,93649.22,178.90302
93649.22,93758.48,93595.93,93758.47,108.35339
93758.47,93758.48,93572.21,93641.74,73.30829
93641.73,93845.38,93455.85,93821.53,246.18799
93821.53,93939.63,93811.09,93897.05,130.78651
93897.05,93920.0,93823.76,93863.63,95.38275
93863.63,93891.74,93793.77,93878.98,50.98054
93878.98,93929.99,93787.27,93787.28,119.37242
93787.27,93851.96,93723.21,93770.99,62.39888
93771.0,93879.96,93666.89,93666.89,87.1708
93666.89,93685.94,93586.4,93685.93,72.00095
93685.93,93810.13,93631.5,93785.73,40.4527
93785.74,93798.45,93709.35,93754.76,31.13459
93754.77,93849.13,93714.3,93847.08,66.16158
93847.08,93959.47,93842.02,93894.37,42.77263
93894.38,93944.38,93845.7,93905.33,41.09191
93905.33,94050.01,93877.53,94024.0,106.37123
94023.99,94219.93,94023.99,94059.31,153.36869
94059.31,94208.0,94053.02,94114.85,78.65977
94114.85,94180.01,94009.0,94020.13,54.26332
94020.13,94020.14,93896.42,93896.42,35.77762
93896.43,93966.0,93834.39,93908.88,54.69613
93908.89,93928.8,93799.29,93849.55,33.31822
93849.55,93849.55,93697.27,93697.28,27.076
93697.28,93761.91,93683.52,93722.46,44.40372
93722.47,93726.0,93636.36,93659.38,31.9592
93659.38,93751.76,93620.89,93620.89,35.70082
93620.89,93620.89,93420.0,93445.19,77.14727
93445.2,93527.81,93357.04,93428.57,76.01495
93428.58,93482.77,93280.8,93280.8,78.86753
93280.8,93388.97,93214.83,93238.46,71.53002
93238.45,93285.72,93150.15,93195.99,65.34157
93195.99,93199.99,92963.66,93005.0,102.75217
93005.01,93299.42,92974.76,93285.25,38.95165
93285.25,93298.86,93182.31,93298.85,58.44533
93298.85,93424.54,93289.05,93414.36,64.12242
93414.36,93476.2,93391.3,93476.19,77.90627
93476.2,93587.77,93371.37,93559.24,112.79496
93559.24,93618.56,93484.18,93497.88,83.91035
93497.88,93619.05,93481.84,93521.73,81.23697
93521.73,93605.58,93476.2,93594.28,32.53152
93594.28,93644.07,93565.95,93644.06,26.86977
93644.07,93879.42,93644.06,93857.15,62.24414
93857.15,93867.55,93737.24,93756.03,54.97698
93756.02,93857.98,93703.61,93735.15,47.96106
93735.15,93850.0,93735.15,93831.55,26.26278
93831.55,93863.1,93740.64,93740.64,20.86355
93740.64,93740.65,93677.43,93688.74,25.53166
93688.74,93745.53,93595.06,93616.79,20.72632
93616.8,93706.02,93616.79,93706.01,40.16312
93706.01,93737.95,93640.0,93640.0,24.25125
93640.01,93739.13,93580.0,93706.86,67.81773
93706.86,93832.08,93706.86,93818.1,44.15626
93818.1,93917.53,93777.11,93855.36,45.23709
93855.35,93877.77,93798.56,93798.57,30.10655
93798.57,93806.15,93789.8,93799.99,16.25343
93799.99,93799.99,93724.55,93735.33,15.47141
93735.33,93791.5,93729.34,93755.5,20.5751
93755.49,93775.15,93737.61,93737.61,13.63781
93737.62,93737.62,93366.0,93513.64,62.95751
93513.65,93642.89,93493.59,93525.61,23.85894
93525.61,93608.29,93525.61,93539.29,13.91554
93539.29,93564.39,93273.06,93485.5,45.09943
93485.51,93517.16,93304.67,93329.76,57.84024
93329.76,93450.75,93300.0,93300.0,24.08873
93300.0,93325.24,93238.1,93273.36,38.62086
93273.36,93428.57,93273.35,93428.57,26.34261
93428.56,93454.31,93384.62,93454.3,19.64379
93454.31,93476.2,93410.3,93410.3,19.47604
93410.3,93567.71,93401.08,93567.7,36.3471
93567.71,93666.61,93567.71,93600.5,21.22535
93600.51,93714.48,93584.68,93714.47,28.82687
93714.47,93786.19,93714.47,93748.12,65.99602
93748.11,93760.79,93715.44,93733.85,12.87212
93733.84,93790.21,93733.84,93790.19,13.98273
93790.19,93798.25,93701.16,93730.0,27.23464
93730.0,93841.3,93710.64,93832.4,40.52026
93832.39,93832.39,93786.48,93806.13,16.65246
93806.14,93816.3,93680.0,93705.54,30.18667
93705.54,93781.87,93705.54,93762.64,11.51972
93762.64,93770.18,93683.99,93695.66,14.54487
93695.65,93698.82,93674.98,93678.45,18.29668
93678.45,93678.46,93610.67,93651.55,30.46116
93651.55,93651.55,93540.83,93577.07,63.39592
93577.08,93608.7,93538.46,93559.73,20.93127
93559.72,93573.52,93525.44,93573.52,32.15051
93573.51,93695.14,93573.51,93691.08,28.32283
93691.07,93787.65,93555.4,93560.0,260.03303
93559.99,93588.25,93476.13,93525.64,103.70255
93525.64,93529.13,93364.91,93434.78,89.71925
93434.79,93556.72,93350.57,93517.68,43.14759
93517.68,93628.24,93350.0,93381.98,40.52949
93381.97,93396.74,93276.53,93306.44,31.80939
93306.45,93441.4,93234.31,93435.57,59.73892
93435.57,93500.0,93418.36,93486.97,27.25891
93486.97,93640.0,93486.96,93625.67,31.8701
93625.67,93636.68,93460.56,93460.57,30.74516
93460.56,93503.99,93400.01,93414.49,116.3577
93414.5,93436.36,93345.13,93357.22,56.39688
93357.22,93360.02,93248.47,93353.7,108.34938
93353.7,93450.0,93353.69,93434.52,28.06907
93434.51,93443.12,93176.2,93237.52,59.51776
93237.51,93259.99,93132.7,93205.29,74.32098
93205.28,93225.53,93074.5,93103.54,94.11985
93103.53,93285.72,93060.75,93285.71,28.72042
93285.72,93389.59,93285.72,93368.29,40.87331
93368.28,93476.18,93342.81,93391.3,56.32011
93391.3,93476.2,93374.17,93461.2,23.31911
93461.2,93488.09,93311.88,93488.09,29.61651
93488.09,93495.49,93421.65,93495.49,25.12669
93495.48,93618.88,93489.17,93489.18,51.59559
93489.18,93512.48,93391.3,93449.03,39.9608
93449.02,93540.0,93335.53,93476.61,42.9944
93476.62,93608.7,93438.16,93590.6,36.59245
93590.6,93631.0,93444.36,93482.3,22.47399
93482.3,93529.8,93434.78,93434.78,23.79623
93434.78,93564.78,93434.78,93515.95,30.41316
93515.96,93533.89,93434.78,93436.66,36.16084
93436.66,93484.0,93388.0,93447.04,29.03368
93447.04,93447.04,93222.18,93250.49,46.58032
93250.49,93314.17,93154.85,93154.85,64.86219
93154.86,93251.92,93154.85,93201.02,29.41448
93201.03,93201.03,93050.0,93101.23,70.95558
93101.23,93238.1,93101.22,93154.2,54.69985
93154.21,93329.63,93122.06,93275.92,48.99799
93275.91,93275.92,93105.58,93140.0,17.15982
93140.0,93209.66,93139.99,93209.66,30.41795
93209.66,93260.87,93145.16,93179.99,38.51278
93179.99,93283.16,93179.99,93283.15,30.68235
93283.15,93283.16,93062.02,93062.44,21.97682
93062.44,93062.45,92936.86,92982.41,143.37473
92982.42,92982.42,92841.11,92843.17,78.03648
92843.18,92998.0,92786.89,92819.99,133.94594
92819.99,92841.44,92704.5,92720.68,98.99877
92720.68,92774.98,92650.0,92673.95,86.82431
92673.95,92839.46,92669.84,92759.7,130.70593
92759.7,92772.01,92494.34,92520.12,115.91902
92520.12,92674.23,92385.12,92666.66,130.8522
92666.67,92693.1,92440.74,92617.28,174.61433
92617.27,92837.88,92550.84,92724.98,153.17789
92724.97,92762.71,92680.13,92739.18,189.02007
92739.19,92839.02,92739.18,92756.99,34.53355
92756.99,92757.0,92540.14,92553.16,39.10687
92553.16,92630.08,92553.16,92630.07,38.11798
92630.08,92664.98,92582.61,92663.16,39.11563
92663.17,92753.91,92643.05,92724.62,32.98282
92724.63,92773.81,92719.9,92746.66,29.14539
92746.67,92857.15,92746.66,92816.51,76.71548
92816.5,92903.94,92786.4,92815.85,33.78532
92815.84,92873.5,92782.6,92869.56,27.04148
92869.56,92898.79,92771.61,92771.62,29.2407
92771.62,92771.62,92643.05,92663.32,20.92552
92663.32,92663.32,92527.62,92605.14,29.84787
92605.13,92695.65,92590.99,92682.21,31.86121
92682.21,92739.11,92668.06,92720.82,19.92109
92720.82,92736.02,92625.95,92647.13,45.50181
92647.12,92737.79,92647.12,92720.39,22.22092
92720.4,92733.81,92660.79,92690.83,28.3779
92690.83,92690.84,92552.0,92576.61,56.61402
92576.6,92636.84,92576.6,92630.31,20.24398
92630.31,92630.32,92500.0,92509.13,45.73614
92509.12,92531.22,92446.53,92506.66,90.46244
92506.66,92506.67,92254.0,92421.29,113.58544
92421.29,92607.01,92307.43,92556.09,99.79132
92556.09,92639.89,92543.5,92624.97,64.52751
92624.97,92666.67,92539.39,92574.4,73.93938
92574.39,92581.6,92446.3,92446.3,85.88034
92446.3,92473.18,92400.0,92400.0,36.72876
92400.0,92542.69,92391.3,92542.69,30.19189
92542.69,92542.69,92413.36,92421.96,88.86689
92421.96,92428.0,92321.55,92388.69,70.61898
92388.7,92493.53,92300.0,92480.89,129.36462
92480.9,92533.18,92394.2,92492.55,151.29788
92492.56,92610.39,92492.55,92610.3,57.03828
92610.3,92636.53,92508.07,92525.5,30.3132
92525.5,92525.51,92365.14,92365.15,42.9063
92365.15,92380.96,92286.53,92380.3,52.38762
92380.3,92444.81,92292.74,92416.62,42.44342
92416.63,92472.0,92209.93,92219.99,142.79804
92219.99,92280.0,92165.99,92264.72,160.01347
92264.72,92272.18,92142.85,92170.67,141.23621
92170.68,92236.35,92101.63,92145.71,91.8
92145.72,92214.68,92140.33,92203.55,38.3406
92203.54,92357.58,92203.54,92339.26,44.85514
92339.26,92354.01,92121.53,92125.02,93.12603
92125.02,92151.04,92077.56,92095.5,135.83024
92095.5,92190.48,92031.98,92031.99,175.67939
92031.99,92126.12,92029.8,92029.8,91.70812
92029.8,92064.57,91872.19,91872.2,245.81078
91872.2,92063.66,91764.68,92030.55,306.47562
92030.55,92171.96,91869.56,92061.4,152.9869
92061.41,92061.41,91777.89,91876.11,120.68409
91876.11,91956.53,91660.01,91755.82,263.19821
91755.82,91926.26,91686.01,91881.88,81.92603
91881.89,92078.75,91862.99,92017.75,119.68077
92017.75,92173.92,91976.76,92151.5,124.17287
92151.5,92260.87,92114.57,92260.14,224.01721
92260.14,92298.28,92183.28,92293.66,121.42581
92293.66,92445.09,92281.95,92312.78,130.7337
92312.77,92509.79,92285.71,92457.45,59.3785
92457.44,92548.66,92352.43,92386.2,84.9273
92386.2,92589.56,92337.86,92431.48,62.59004
92431.48,92459.49,92333.33,92333.55,34.44597
92333.55,92406.97,92333.54,92347.82,31.09288
92347.82,92367.24,92285.71,92334.08,41.24292
92334.08,92368.0,92249.02,92285.55,52.72526
92285.55,92488.0,92285.54,92476.9,28.80142
92476.89,92521.74,92469.71,92513.98,52.89708
92513.97,92513.98,92403.72,92408.07,54.53988
92408.07,92476.34,92370.16,92423.44,25.23559
92423.44,92509.97,92423.43,92461.92,46.2461
92461.92,92608.65,92461.92,92577.51,122.8346
92577.51,92595.91,92535.2,92567.01,20.99461
92567.01,92578.23,92469.99,92469.99,38.9843
92470.0,92544.0,92416.0,92544.0,24.80544
92544.0,92650.0,92526.75,92631.39,44.34809
92631.38,92640.85,92542.01,92552.12,46.85927
92552.12,92657.14,92471.14,92649.99,107.45194
92649.99,92657.69,92550.88,92550.89,27.0734
92550.89,92562.89,92459.34,92504.81,39.36161
92504.81,92509.19,92370.53,92383.62,59.85677
92383.63,92418.89,92314.58,92356.0,38.04104
92355.99,92387.71,92308.0,92332.57,27.19787
92332.56,92332.57,92270.67,92304.34,44.85105
92304.33,92439.58,92303.35,92439.58,35.15707
92439.57,92444.0,92289.5,92332.02,46.3632
92332.03,92569.12,92329.83,92409.88,100.84665
92409.88,92518.99,92352.33,92468.94,25.48825
92468.93,92532.3,92468.93,92519.42,24.19155
92519.42,92619.01,92519.41,92619.01,32.97887
92619.01,92640.0,92575.21,92619.94,26.46886
92619.94,92676.03,92571.87,92571.88,43.46767
92571.88,92571.88,92434.78,92445.5,57.03588
92445.5,92607.75,92445.5,92607.75,43.86303
92607.75,92735.25,92566.32,92692.47,120.64935
92692.48,92727.41,92572.0,92572.01,78.91628
92572.0,92639.41,92511.84,92589.0,39.52214
92589.01,92718.82,92527.32,92718.82,57.1912
92718.81,92805.67,92686.45,92708.53,69.90212
92708.54,92730.1,92655.41,92668.19,31.09049
92668.2,92714.05,92608.69,92681.91,45.27592
92681.9,92700.0,92608.69,92695.66,49.1266
92695.66,92779.63,92695.66,92777.27,43.73257
92777.27,92839.0,92701.26,92707.52,110.48872
92707.52,92809.53,92649.75,92766.23,101.52103
92766.23,92800.22,92695.66,92739.14,50.83591
92739.13,92834.28,92739.13,92752.43,62.10908
92752.43,92787.67,92739.13,92759.73,28.6164
92759.73,92772.02,92721.23,92739.14,21.00445
92739.14,92966.34,92739.13,92925.78,115.96229
92925.78,92965.0,92816.98,92929.99,116.28904
92930.0,92930.0,92566.46,92833.41,205.66877
92833.42,92900.0,92582.04,92636.49,122.64957
92636.49,92676.49,92556.52,92640.27,118.59446
92640.28,92830.01,92554.81,92813.83,186.6595
92813.82,93200.0,92795.22,93181.9,243.64371
93181.89,93250.0,93113.62,93156.14,235.10181
93156.14,93156.14,92662.61,92800.01,148.94179
92800.01,92961.71,92762.23,92762.23,107.5984
92762.23,92843.97,92666.66,92731.64,118.26615
92732.22,92823.8,92619.04,92823.8,113.57141
92823.81,92948.47,92823.7,92862.85,96.76503
92862.85,93130.44,92850.0,93016.91,79.76069
93016.91,93164.0,93016.91,93138.59,134.84415
93138.58,93217.4,92969.2,93217.4,101.18876
93217.39,93400.0,93200.22,93248.6,121.85086
93248.61,93279.3,93023.68,93101.83,69.81509
93101.84,93200.5,93011.93,93191.2,78.89413
93191.21,93400.0,93191.2,93356.81,85.83195
93356.81,93450.0,93285.71,93294.52,167.56733
93294.52,93424.49,93180.29,93234.36,90.43649
93234.35,93406.28,93208.34,93226.47,71.52584
93226.47,93240.89,93131.5,93136.25,111.69847
93138.13,93300.0,93065.0,93290.66,58.46573
93290.66,93337.99,93249.59,93293.27,50.9253
93293.27,93347.83,93217.39,93259.98,71.15187
93259.98,93302.73,93184.59,93212.06,87.93767
93212.05,93302.73,93150.15,93299.48,43.36265
93299.48,93339.47,93180.97,93202.51,37.91827
93202.52,93332.0,93202.51,93303.0,59.22437
93303.01,93368.79,93217.39,93329.49,57.55134
93329.28,93462.77,93329.27,93460.48,64.3141
93460.48,93529.06,93445.67,93519.5,138.34969
93519.5,93536.87,93434.78,93434.78,76.97239
93434.78,93528.67,93391.92,93528.66,82.38034
93528.66,93561.16,93474.33,93531.41,114.20204
93531.41,93567.65,93466.24,93497.25,63.90215
93497.24,93595.22,93491.89,93513.51,60.93113
93513.52,93559.63,93465.93,93497.8,46.46825
93497.81,93540.0,93459.3,93491.99,36.5735
93492.0,93510.16,93346.07,93346.08,70.18166
93346.07,93380.62,93268.0,93380.61,55.29577
93380.62,93428.41,93151.64,93151.65,36.95878
93151.64,93178.26,92934.18,92938.46,83.33077
92938.46,93039.3,92826.09,92966.63,116.70244
92966.62,92981.1,92761.9,92836.52,76.77749
92836.53,93094.48,92836.53,93031.1,76.08539
93031.1,93086.96,92905.35,92913.67,51.82606
92913.67,93000.4,92904.01,92959.18,34.97059
92959.69,92991.65,92700.0,92764.88,38.81132
92764.88,92851.05,92666.62,92766.09,55.10091
92766.08,92920.0,92695.65,92920.0,53.16481
92920.0,93019.55,92905.39,93011.28,35.11403
93011.28,93100.0,92999.07,93070.18,31.41114
93070.18,93200.0,93063.7,93168.99,48.31533
93168.99,93341.93,93099.86,93315.39,47.08929
93315.39,93395.41,93260.86,93342.55,56.60957
93342.55,93356.05,93181.06,93243.59,34.62019
93243.6,93271.32,93181.33,93217.39,27.46707
93217.4,93304.35,93181.33,93229.22,28.43451
93229.22,93266.58,93166.63,93229.89,20.3307
93229.89,93311.25,93229.89,93278.83,31.90581
93278.83,93444.45,93260.82,93326.06,40.11378
93326.07,93463.67,93326.06,93360.47,40.23466
93360.46,93394.38,93348.87,93380.0,20.21917
93380.0,93448.0,93333.33,93333.34,21.56697
93333.34,93386.37,93317.18,93317.18,21.42688
93317.19,93350.27,93189.49,93232.06,37.19612
93232.06,93299.99,93212.07,93299.97,23.2785
93299.97,93439.01,93287.33,93439.01,33.31027
93439.0,93515.62,93418.07,93490.41,42.19365
93490.41,93557.36,93486.39,93549.99,47.27772
93549.99,93593.75,93537.19,93567.58,36.5632
93567.57,93586.5,93525.23,93581.76,28.44806
93581.76,93595.0,93496.0,93593.62,44.5372
93593.61,93639.31,93559.01,93621.72,80.61845
93621.72,93649.56,93521.73,93556.12,75.70243
93556.12,93666.0,93460.58,93472.36,193.48501
93472.35,93594.17,93472.35,93572.49,22.03066
93572.49,93572.5,93448.03,93448.03,84.54084
93448.04,93448.04,93378.07,93383.17,29.23846
93383.18,93447.62,93326.28,93447.61,50.14429
93447.62,93452.0,93413.87,93445.87,24.16529
93445.87,93445.88,93361.15,93361.15,16.26671
93361.15,93450.0,93320.34,93320.34,59.00926
93320.34,93442.03,93299.14,93419.2,31.33551
93419.21,93500.0,93419.2,93500.0,26.41543
93500.0,93542.91,93499.99,93525.25,21.26662
93525.24,93525.25,93383.51,93390.66,88.20418
93391.3,93474.98,93352.23,93465.62,27.1747
